id,w,h,search,n_bounds,cx,cy,apothems,fit_rms,strengths,cx_each,cy_each
1-1-C1,1468,2048,open,2,146.299,155.576,67.462;78.915,0.339;0.247,2157;2196,146.111;146.484,155.596;155.557
1-1-D23,1468,2048,open,3,146.623,156.707,57.070;67.150;71.588,0.353;0.247;0.301,1881;1972;1503,146.540;146.311;147.138,156.722;156.740;156.643
1-1-P1-_TFC,1468,2048,open,3,146.672,156.819,57.810;66.531;72.250,0.217;0.131;0.213,2742;2968;2238,146.536;146.544;147.009,156.826;156.793;156.845
1-1,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-10-C1,1468,2048,open,2,146.363,155.552,67.320;78.966,0.277;0.253,2461;2506,146.141;146.582,155.555;155.548
1-10-C2,1468,2048,open,3,146.570,156.806,57.745;66.598;72.038,0.192;0.156;0.351,2867;2980;2051,146.534;146.519;146.694,156.805;156.780;156.843
1-10-P1,1468,2048,open,3,146.680,156.734,57.766;66.577;72.231,0.203;0.150;0.225,2752;2939;1968,146.557;146.540;147.059,156.743;156.719;156.742
1-10-P3,1468,2048,open,3,146.473,156.854,57.759;66.639;72.036,0.206;0.164;0.352,2782;2949;2021,146.439;146.431;146.581,156.841;156.842;156.891
1-10,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-100,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-101,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-102,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-103,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-104,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-105,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-106,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-107,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-108,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-109,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-11-P1,1468,2048,open,3,146.680,156.734,57.766;66.577;72.231,0.203;0.150;0.225,2752;2939;1968,146.557;146.540;147.059,156.743;156.719;156.742
1-11,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-110,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-111,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-112,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-113,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-114,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-115,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-116,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-117,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-118,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-119,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-12-P1,1468,2048,open,3,146.751,156.739,57.109;67.123;71.638,0.376;0.199;0.305,2950;2925;2141,146.533;146.693;147.132,156.739;156.804;156.649
1-12,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-120,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-121,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-122,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-123,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-124,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-125,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-126,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-127,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-128,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-129,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-13-P1,1468,2048,open,3,146.751,156.739,57.109;67.123;71.638,0.376;0.199;0.305,2950;2925;2141,146.533;146.693;147.132,156.739;156.804;156.649
1-13,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-130,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-131,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-132,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-133,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-134,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-135,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-136,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-137,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-138,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-139,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-14,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-140,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-141,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-142,1468,2048,open,3,146.664,156.797,57.738;66.612;72.180,0.194;0.162;0.186,2784;2938;1932,146.550;146.535;147.025,156.804;156.791;156.795
1-143,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-144,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-145,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-146,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-147,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-148,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-149,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-15,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-150,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-151,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-152,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-153,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-154,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-155,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-156,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-157,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-158,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-159,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-16,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-160,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-161,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-162,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-163,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-164,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-165,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-166,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-167,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-168,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-169,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-17,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-170,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-171,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-172,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-173,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-174,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-175,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.582
1-176,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-177,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-178,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-179,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-18,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-180,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-181,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-182,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-183,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-184,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-185,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-186,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-187,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-188,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-189,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-19,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-190,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-191,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-192,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-193,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-194,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-195,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-196,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-197,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-198,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-199,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-2-C1,1468,2048,open,3,146.560,156.763,57.349;66.965;71.610,0.124;0.268;0.234,2765;2731;2031,146.523;146.487;146.710,156.745;156.804;156.731
1-2-P1,1468,2048,open,3,146.672,156.819,57.809;66.531;72.250,0.216;0.131;0.213,2742;2968;2238,146.535;146.544;147.009,156.825;156.793;156.845
1-2,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-20-P1,1468,2048,open,2,149.557,155.439,67.658;78.481,0.069;0.107,2921;2958,149.556;149.558,155.450;155.428
1-20,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-200,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-201,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-202,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-203,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-204,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-205,1468,2048,open,2,149.649,155.450,67.724;78.524,0.209;0.110,2532;2614,149.745;149.557,155.467;155.435
1-206,1468,2048,open,3,146.703,156.719,57.803;66.543;72.261,0.209;0.139;0.204,1953;2154;1452,146.563;146.576;147.082,156.729;156.708;156.722
1-207,1468,2048,open,3,149.566,155.371,67.626;78.501;88.302,0.063;0.121;1.477,1990;1996;798,149.533;149.559;149.668,155.465;155.433;154.982
1-208,1468,2048,open,3,146.698,156.717,57.794;66.553;72.237,0.213;0.138;0.192,1848;2023;1357,146.562;146.568;147.076,156.726;156.708;156.718
1-209,1468,2048,open,2,149.669,155.443,67.758;78.489,0.202;0.122,2333;2358,149.790;149.549,155.459;155.428
1-21-P1,1468,2048,open,3,146.689,156.722,57.820;66.522;72.300,0.216;0.134;0.243,2820;2974;2144,146.549;146.539;147.082,156.747;156.697;156.723
1-21,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-210,1468,2048,open,2,149.545,155.451,67.621;78.508,0.063;0.115,2063;2080,149.532;149.558,155.465;155.437
1-211,1468,2048,open,3,146.699,156.719,57.796;66.547;72.252,0.211;0.138;0.200,1950;2111;1405,146.560;146.570;147.087,156.731;156.708;156.718
1-212,1468,2048,open,3,146.705,156.719,57.795;66.549;72.252,0.211;0.137;0.200,1906;2104;1408,146.565;146.571;147.094,156.730;156.704;156.727
1-213,1468,2048,open,3,146.606,156.737,57.796;66.554;72.085,0.209;0.138;0.376,2489;2751;1839,146.565;146.567;146.722,156.722;156.714;156.792
1-214,1468,2048,open,3,146.674,156.724,57.764;66.580;72.191,0.203;0.140;0.176,2169;2345;1563,146.560;146.565;146.997,156.715;156.723;156.736
1-215,1468,2048,open,3,146.697,156.715,57.789;66.551;72.239,0.211;0.137;0.183,1929;2140;1429,146.555;146.570;147.079,156.734;156.701;156.711
1-216,1468,2048,open,3,146.609,156.739,57.795;66.555;72.071,0.213;0.139;0.361,1904;2096;1384,146.564;146.570;146.731,156.730;156.718;156.783
1-22-P1,1468,2048,open,3,146.698,156.724,57.818;66.520;72.312,0.217;0.132;0.251,2899;2996;2244,146.551;146.536;147.102,156.753;156.694;156.729
1-22,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-23-P1,1468,2048,open,3,146.686,156.726,57.814;66.523;72.291,0.212;0.137;0.247,2782;2970;2116,146.548;146.541;147.071,156.743;156.709;156.726
1-23,1468,2048,open,3,146.688,156.717,57.763;66.582;72.189,0.201;0.144;0.166,2751;2936;1961,146.563;146.563;147.051,156.736;156.702;156.715
1-24-P1,1468,2048,open,3,146.751,156.739,57.109;67.123;71.638,0.376;0.199;0.305,2950;2925;2141,146.533;146.693;147.132,156.739;156.804;156.649
1-24,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-25,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-26,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-27,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-28,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-29,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-3-P1,1468,2048,open,3,146.672,156.819,57.809;66.531;72.250,0.216;0.131;0.213,2742;2968;2238,146.535;146.544;147.009,156.825;156.793;156.845
1-3,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-30,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-31,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-32,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-33,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-34,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-35,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-36,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-37,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-38,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-39,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-4-C1,1468,2048,open,3,146.622,156.740,57.146;67.053;71.576,0.341;0.287;0.315,2651;2743;2100,146.626;146.419;146.880,156.725;156.790;156.694
1-4-P1,1468,2048,open,3,146.672,156.819,57.809;66.531;72.250,0.216;0.131;0.213,2742;2968;2238,146.535;146.544;147.009,156.825;156.793;156.845
1-4,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-40,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-41,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-42,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-43,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-44,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-45,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-46,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-47,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-48,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-49,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-5-P1,1468,2048,open,3,146.672,156.819,57.810;66.531;72.250,0.217;0.131;0.213,2742;2968;2238,146.536;146.544;147.009,156.826;156.793;156.845
1-5,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-50,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-51,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
