id,w,h,search,n_bounds,cx,cy,apothems,fit_rms,strengths,cx_each,cy_each
8-34,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-35-P2,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-35,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-36,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-37,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-38,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-39,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-4,1468,2048,open,3,146.565,156.731,57.696;66.551;71.983,0.182;0.138;0.386,2471;2395;1535,146.516;146.524;146.707,156.721;156.725;156.759
8-40,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-41,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-42,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
8-43,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-44,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
8-45,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-46,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-47,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-48,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
8-49,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-5,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-50,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-51,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-52,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-53,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-54,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-55,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-56,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-57,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-58,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-59,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
8-6,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
