id,file,setCode,number,promoGrouping,rarity,bordered_empirical,black_level,left_px,right_px,top_px,band_top_px,emb_score_std,emb_x_std,emb_y_std,emb_score_enc,emb_x_enc,emb_y_enc,top_px_v2
1-134,images/1-134.jpg,1,134,,Rare,True,1.0,61,61,67,1907,0.6197,647,1900,0.3519,576,1886,67
1-135,images/1-135.jpg,1,135,,Uncommon,True,1.0,61,61,67,1906,0.6472,645,1899,0.3552,737,1885,67
1-136,images/1-136.jpg,1,136,,Rare,True,1.0,61,61,67,1907,0.6197,647,1900,0.3519,576,1886,67
1-137,images/1-137.jpg,1,137,,Rare,True,1.0,60,60,65,1907,0.6222,648,1900,0.353,576,1886,65
1-138,images/1-138.jpg,1,138,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,66
1-139,images/1-139.jpg,1,139,,Super Rare,True,1.0,60,60,66,1907,0.6549,641,1900,0.3365,735,1886,66
1-14,images/1-14.jpg,1,14,,Rare,True,1.0,60,60,66,1907,0.6211,647,1900,0.3522,575,1886,66
1-140,images/1-140.jpg,1,140,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-141,images/1-141.jpg,1,141,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-142,images/1-142.jpg,1,142,,Legendary,True,11.0,60,60,67,1907,0.9947,650,1900,0.336,567,1886,67
1-143,images/1-143.jpg,1,143,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-144,images/1-144.jpg,1,144,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-145,images/1-145.jpg,1,145,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,67
1-146,images/1-146.jpg,1,146,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-147,images/1-147.jpg,1,147,,Legendary,True,1.0,60,60,67,1907,0.9953,650,1900,0.3377,567,1886,67
1-148,images/1-148.jpg,1,148,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-149,images/1-149.jpg,1,149,,Rare,True,1.0,60,60,67,1907,0.6212,647,1900,0.3523,575,1886,67
1-15,images/1-15.jpg,1,15,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-150,images/1-150.jpg,1,150,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-151,images/1-151.jpg,1,151,,Rare,True,1.0,60,60,66,1907,0.6211,647,1900,0.3522,575,1886,66
1-152,images/1-152.jpg,1,152,,Rare,True,1.0,60,60,66,1907,0.6211,647,1900,0.3522,575,1886,66
1-153,images/1-153.jpg,1,153,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-154,images/1-154.jpg,1,154,,Common,True,1.0,60,60,65,1907,0.7424,647,1900,0.3613,733,1886,65
1-155,images/1-155.jpg,1,155,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-156,images/1-156.jpg,1,156,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-157,images/1-157.jpg,1,157,,Super Rare,True,1.0,60,60,67,1907,0.6548,641,1900,0.3363,735,1886,66
1-158,images/1-158.jpg,1,158,,Rare,True,1.0,60,60,68,1907,0.6211,647,1900,0.3522,575,1886,68
1-159,images/1-159.jpg,1,159,,Super Rare,True,1.0,60,60,66,1907,0.6548,641,1900,0.3363,735,1886,66
1-16,images/1-16.jpg,1,16,,Uncommon,True,1.0,60,60,66,1907,0.6474,645,1900,0.3574,737,1886,66
1-160,images/1-160.jpg,1,160,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-161,images/1-161.jpg,1,161,,Common,True,1.0,60,60,66,1907,0.7407,647,1900,0.3612,733,1886,66
1-162,images/1-162.jpg,1,162,,Rare,True,1.0,60,60,67,1907,0.6228,648,1900,0.3529,576,1886,66
1-163,images/1-163.jpg,1,163,,Rare,True,1.0,60,60,67,1907,0.6216,647,1900,0.352,575,1886,67
1-164,images/1-164.jpg,1,164,,Uncommon,True,1.0,60,60,65,1907,0.6458,645,1900,0.3565,737,1886,65
1-165,images/1-165.jpg,1,165,,Common,True,1.0,60,60,66,1907,0.7407,647,1900,0.3612,733,1886,66
1-166,images/1-166.jpg,1,166,,Uncommon,True,1.0,61,61,67,1906,0.6472,645,1899,0.3552,737,1885,67
1-167,images/1-167.jpg,1,167,,Uncommon,True,1.0,61,61,67,1906,0.6472,645,1899,0.3552,737,1885,67
1-168,images/1-168.jpg,1,168,,Rare,True,1.0,61,61,67,1906,0.6186,647,1900,0.3516,575,1886,67
1-169,images/1-169.jpg,1,169,,Common,True,1.0,61,61,67,1906,0.7375,647,1900,0.3603,733,1886,67
1-17,images/1-17.jpg,1,17,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-170,images/1-170.jpg,1,170,,Uncommon,True,1.0,61,61,67,1906,0.6472,645,1899,0.3552,737,1885,67
1-171,images/1-171.jpg,1,171,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-172,images/1-172.jpg,1,172,,Uncommon,True,1.0,60,60,67,1907,0.6472,645,1899,0.3569,737,1886,67
1-173,images/1-173.jpg,1,173,,Rare,True,1.0,60,60,65,1907,0.6222,648,1900,0.353,576,1886,65
1-174,images/1-174.jpg,1,174,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,67
1-175,images/1-175.jpg,1,175,,Rare,True,1.0,60,60,65,1907,0.6225,648,1900,0.3534,576,1886,65
1-176,images/1-176.jpg,1,176,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-177,images/1-177.jpg,1,177,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-178,images/1-178.jpg,1,178,,Legendary,True,1.0,60,60,66,1907,0.9939,650,1900,0.337,567,1886,66
1-179,images/1-179.jpg,1,179,,Common,True,1.0,60,61,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-18,images/1-18.jpg,1,18,,Legendary,True,1.0,60,60,196,1907,0.9939,650,1900,0.337,567,1886,159
1-180,images/1-180.jpg,1,180,,Super Rare,True,1.0,60,60,66,1907,0.6548,641,1900,0.3363,735,1886,66
1-181,images/1-181.jpg,1,181,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-182,images/1-182.jpg,1,182,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-183,images/1-183.jpg,1,183,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-184,images/1-184.jpg,1,184,,Uncommon,True,1.0,60,60,67,1907,0.6472,645,1899,0.3569,737,1886,66
1-185,images/1-185.jpg,1,185,,Rare,True,1.0,60,60,67,1907,0.6211,647,1900,0.3522,575,1886,66
1-186,images/1-186.jpg,1,186,,Rare,True,1.0,60,60,67,1907,0.6211,647,1900,0.3522,575,1886,66
1-187,images/1-187.jpg,1,187,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-188,images/1-188.jpg,1,188,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-189,images/1-189.jpg,1,189,,Rare,True,1.0,60,60,66,1907,0.6211,647,1900,0.3522,575,1886,66
1-19,images/1-19.jpg,1,19,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-190,images/1-190.jpg,1,190,,Uncommon,True,1.0,60,60,65,1907,0.6474,645,1900,0.3574,737,1886,65
1-191,images/1-191.jpg,1,191,,Uncommon,True,1.0,60,60,67,1907,0.6472,645,1899,0.3569,737,1886,66
1-192,images/1-192.jpg,1,192,,Legendary,True,1.0,60,60,68,1907,0.9939,650,1900,0.337,567,1886,68
1-193,images/1-193.jpg,1,193,,Super Rare,True,1.0,60,61,66,1907,0.655,641,1900,0.3365,735,1886,66
1-194,images/1-194.jpg,1,194,,Common,True,1.0,60,60,68,1907,0.7408,647,1900,0.3611,733,1886,68
1-195,images/1-195.jpg,1,195,,Super Rare,True,1.0,60,60,65,1907,0.6563,641,1900,0.3367,735,1886,65
1-196,images/1-196.jpg,1,196,,Common,True,1.0,60,60,66,1907,0.7407,647,1900,0.3612,733,1886,66
1-197,images/1-197.jpg,1,197,,Common,True,1.0,60,60,65,1907,0.7423,647,1900,0.3613,733,1886,65
1-198,images/1-198.jpg,1,198,,Rare,True,1.0,60,61,66,1907,0.6228,648,1900,0.3529,576,1886,65
1-199,images/1-199.jpg,1,199,,Uncommon,True,1.0,60,61,67,1907,0.6457,645,1899,0.356,737,1886,67
1-2,images/1-2.jpg,1,2,,Super Rare,True,1.0,60,60,66,1907,0.6548,641,1900,0.3363,735,1886,66
1-2-C1,images/1-2-C1.jpg,1,2,C1,Special,False,24.0,-1,-1,-1,-1,0.1611,632,1930,0.5759,634,1900,-1
1-2-P1,images/1-2-P1.jpg,1,2,P1,Special,True,1.0,60,60,67,1907,0.442,780,1899,0.3146,560,1885,67
1-20,images/1-20.jpg,1,20,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
